addressLine1,city,state,zipCode,county,latitude,longitude,zoning,subdivision,location_id
100 Davidson Dr,Terrell,TX,75160,Kaufman,32.752967,-96.287041,Unknown,ALICE STALLINGS,491
813 S 6th St,Smithfield,NC,27577,Johnston,35.499888,-78.346744,Unknown,Not available,492
6641 Quakertown Ave,Winnetka,CA,91306,Los Angeles,34.191315,-118.57018,LAR1,17755,493
12 Morgan Dr,Leechburg,PA,15656,Armstrong,40.633839,-79.598407,RESIDENTIAL,Not available,494
341 Zola Ave,Roseville,CA,95678,Placer,38.750498,-121.271054,R1,ROSEVILLE GREENS,495
20290 Westpointe Ct,Southfield,MI,48076,Oakland,42.489946,-83.244357,R-2,EVERGREEN TRAIL SUBN,496
24 Tanner Woods Ln,Greensboro,NC,27410,Guilford,36.127762,-79.885998,CU-RM-5,TANNER WOODS SUB PH 1 MAP 4,497
330 Olde Hickory Rd,Mount Wolf,PA,17347,York,40.027496,-76.69841,AG,SHERMAN OAKS PHASE II,498
960 Marbury Ct SW,Marietta,GA,30064,Cobb,33.929062,-84.581026,Unknown,CHARLTON FORGE,499
101 Forest Ridge Ct,Goose Creek,SC,29445,Berkeley,32.999864,-80.061144,GOOSE CREEK - PD,CROWFIELD (HUNTERS WOOD),500
